variant,pass_type,n,brier_score,ece
no_footedness,Ordinary,142420,0.09054411947727203,0.0030994308426329944
no_footedness,Cross,1030,0.1841960996389389,0.04664104064402071
no_footedness,Switch,3741,0.12248850613832474,0.0161862467843576
no_footedness,Through ball,1107,0.2330165058374405,0.0628073783195977
current,Ordinary,142420,0.09056895226240158,0.0032926285926348628
current,Cross,1030,0.18496043980121613,0.043547575508506554
current,Switch,3741,0.1217493936419487,0.01692725007418036
current,Through ball,1107,0.23561441898345947,0.05779838286064289
full_interactions,Ordinary,142420,0.0904986634850502,0.003302496259650421
full_interactions,Cross,1030,0.18512655794620514,0.04890085316977455
full_interactions,Switch,3741,0.12243864685297012,0.014898490591885352
full_interactions,Through ball,1107,0.23445627093315125,0.06257885546097912
