season,n_test_passes,auc,brier_score,ece
2004/2005,1477,0.8763534682165549,0.10640735924243927,0.029862595506431108
2005/2006,2945,0.8532506785675779,0.13217326998710632,0.030728127477225704
2006/2007,4819,0.8931907302198918,0.08783619105815887,0.00865936515074743
2007/2008,4796,0.880099004171174,0.09685096889734268,0.02186521377299504
2008/2009,5280,0.8710524540547084,0.10880168527364731,0.016336398949903047
2009/2010,5872,0.8817481923716064,0.09462722390890121,0.009662851127884673
2010/2011,6368,0.9040760553021495,0.07876774668693542,0.012307467649283612
2011/2012,7529,0.8765445635345794,0.08630143851041794,0.014235073285663973
2012/2013,6619,0.897896683534931,0.07423862814903259,0.008147812178711591
2013/2014,6114,0.8957903959116088,0.08925767987966537,0.01060996685234361
2014/2015,6539,0.8917656298279947,0.08627908676862717,0.008459770222799663
2015/2016,57603,0.8915977021962518,0.10430924594402313,0.004026473889110302
2016/2017,6002,0.8908803375985106,0.08393695950508118,0.015101516675806066
2017/2018,7011,0.8902563511036242,0.0840645506978035,0.010239847077739839
2018/2019,6303,0.8999035178589283,0.07684740424156189,0.006619757978420272
2019/2020,6322,0.897288096941591,0.07292050868272781,0.010411400700324498
2020/2021,6699,0.8996267578873886,0.06592096388339996,0.007306306379769246
