season,n_passes,strong_foot_completion,weak_foot_completion,raw_gap_pp,chi2,chi2_pvalue,logit_weak_foot_coef,logit_ci_low,logit_ci_high,logit_pvalue,fit_method,controls_used,controls_dropped,logit_error
1973/1974,555,0.6898876404494382,0.7636363636363637,-7.3748723186925496,1.9636315334742453,0.16112546445103904,0.4235776049901161,-0.10383298904946425,0.9509881990296964,0.11546440517606944,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,dist_to_goal,angle_to_goal",pass_cut_back_f,
2004/2005,4743,0.7873107426099495,0.7628865979381443,2.4424144671805204,1.659017947398154,0.19773597079807861,-0.4010203898503322,-0.6245397678883234,-0.177501011812341,0.0004374268100610444,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2005/2006,12072,0.7781238203095507,0.7737127371273713,0.44110831821794205,0.1213665135643929,0.7275570954593198,-0.2042215398907069,-0.344835586019298,-0.06360749376211583,0.004419386307406287,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2006/2007,20899,0.8238592633315008,0.8386858619416759,-1.4826598610175101,3.5004705490517565,0.0613513950238929,-0.09000508188631597,-0.2090710640376198,0.029060900264987866,0.1384499795167963,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2007/2008,22117,0.8250064184852375,0.8289174867524602,-0.39110682672227615,0.22060608433549697,0.6385785000872305,-0.16791258590681998,-0.28512777909105,-0.050697392722589926,0.004989995959653061,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2008/2009,24363,0.8082395610527294,0.7668883444172209,4.135121663550856,27.040197745681454,1.9926814043015823e-07,-0.3666915836659495,-0.4676040905438342,-0.2657790767880648,1.0634587100822832e-12,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2009/2010,29951,0.819333843797856,0.8175411119812059,0.17927318166500728,0.06087260087878026,0.8051220372697637,-0.16061121553514465,-0.25433544122776974,-0.06688698984251959,0.0007830809287116406,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2010/2011,31765,0.8515944547001122,0.8402609956500725,1.1333459050039685,3.5396350154025993,0.05991864473982678,-0.14313395007133004,-0.23947822347977354,-0.04678967666288651,0.0035932719039827245,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2011/2012,34056,0.8366931446498899,0.8234000977039571,1.3293046945932807,4.525706577325796,0.03338928523124672,-0.23518977454095458,-0.3261339396135452,-0.14424560946836393,4.006623270527455e-07,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2012/2013,31424,0.8486777490815176,0.8372743452834986,1.1403403798018963,3.3696948888590836,0.06640605259252348,-0.22531319924284093,-0.3225072103103202,-0.12811918817536166,5.531492902731308e-06,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2013/2014,27800,0.8362108226721319,0.8267068823690704,0.9503940303061453,2.0085388191620916,0.15641590514802764,-0.18627546180404464,-0.2863301600282406,-0.08622076357984872,0.00026332862848582194,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2014/2015,33567,0.8394247441607452,0.82956186807896,0.9862876081785155,2.5386395047150816,0.11109047103445382,-0.17707915322051596,-0.2699958341374373,-0.08416247230359464,0.00018751491922398386,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2015/2016,307973,0.7770813543855974,0.7626124460874923,1.4468908298105099,42.23562375719048,8.091262305689116e-11,-0.18435105899171997,-0.2108357803702547,-0.15786633761318525,2.2333659253455105e-42,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2016/2017,29699,0.8377342252474279,0.8421179883945842,-0.4383763147156272,0.47298604071791234,0.49161664814466954,-0.06361624339239935,-0.15876027712359989,0.03152779033880118,0.19002926820153287,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2017/2018,33950,0.8473809523809523,0.8395604395604396,0.782051282051277,1.793319612531028,0.18052222386647382,-0.1444722061763674,-0.23438929580490395,-0.05455511654783088,0.0016375909769967597,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2018/2019,32908,0.8529215417588981,0.8515853384304025,0.13362033284956,0.04456105335752706,0.8328132261514885,-0.0824972479065732,-0.17728364219918327,0.01228914638603687,0.0880354923278629,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2019/2020,32786,0.8657625924621346,0.8669244767970883,-0.11618843349536778,0.03481865727248286,0.8519761634397937,-0.08212800262839752,-0.1807925626991811,0.016536557442386066,0.10279191701855211,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
2020/2021,35261,0.8734353719437058,0.866832466651594,0.6602905292111827,1.4582854559842624,0.22720311974608004,-0.14843682552839726,-0.24745549407688278,-0.049418156979911754,0.0033018657874403397,statsmodels_logit,"pass_length,under_pressure,pass_cross_f,pass_switch_f,pass_through_ball_f,pass_cut_back_f,dist_to_goal,angle_to_goal",,
