variant,pass_type,n,brier_score,ece
unweighted,Ordinary,100681,0.09681116789579391,0.004323771512680588
unweighted,Cross,2563,0.1828683614730835,0.018543634594207718
unweighted,Switch,2754,0.12897929549217224,0.03151992642163108
unweighted,Through ball,591,0.2284911423921585,0.04625715476708163
inv_type,Ordinary,100681,0.10060496628284454,0.009425593826848136
inv_type,Cross,2563,0.18749701976776123,0.03707244741384097
inv_type,Switch,2754,0.1214841976761818,0.023863803879368026
inv_type,Through ball,591,0.23897607624530792,0.10276927580889914
sqrt_inv_type,Ordinary,100681,0.09749424457550049,0.005695152647884392
sqrt_inv_type,Cross,2563,0.18618403375148773,0.03512998822374452
sqrt_inv_type,Switch,2754,0.12047989666461945,0.031042463625676413
sqrt_inv_type,Through ball,591,0.2232256829738617,0.05152379190659563
